osmid,y,x
4066907407,10.7891345,106.7148459
4066907408,10.7891067,106.7152282
4066907409,10.7892475,106.7167836
4066907410,10.7893639,106.716584
11273508183,10.7887626,106.7333815
11341010412,10.7667768,106.7168156
11341010413,10.7663134,106.7172768
11341010414,10.7667629,106.717503
11341010416,10.7655828,106.7194273
11341010417,10.7653293,106.7201668
11341010418,10.7648394,106.7223193
11341010419,10.7647514,106.7231663
11341010420,10.7647148,106.7248824
11341010421,10.7647543,106.7254936
11341010422,10.7648066,106.7259644
11341010423,10.764858,106.7263068
11341010424,10.7647799,106.7257462
11341010425,10.76713,106.7165009
11341010426,10.7674381,106.716083
11341010427,10.7675544,106.7160853
11341010428,10.7674441,106.716226
11341010429,10.7672498,106.7164941
11341010430,10.7670581,106.7167809
11341010431,10.7668912,106.7170513
11341010432,10.7677283,106.7157368
11341010433,10.7677945,106.7158083
11341010434,10.7679805,106.7154726
11341010435,10.768045,106.7155437
11341010436,10.7676153,106.7156699
11341010437,10.7673228,106.7160202
11341010438,10.76701,106.7164488
11341010439,10.7679039,106.7153672
11341010440,10.7671077,106.7161568
11341010441,10.7668772,106.7164852
11341010444,10.766508,106.7171057
11341010445,10.7665811,106.7171465
11341010446,10.7666973,106.7172113
11341010447,10.7667755,106.717255
11341010450,10.7676852,106.7154671
11341010451,10.7677647,106.7153829
11341010452,10.7678678,106.7152787
11341010453,10.7684568,106.7151587
11341010466,10.767378,106.7158127
11341010484,10.768723,106.7149406
11341010485,10.7688104,106.7148718
11341010486,10.7688541,106.7147243
11341010487,10.7685468,106.7149615
11341010488,10.768782,106.714621
11341010489,10.7686045,106.7146314
11341010490,10.7684716,106.7147343
11341010491,10.7683567,106.7148281
11341010493,10.769051,106.714587
11341010494,10.7689786,106.7144757
11341010495,10.7693858,106.7142169
11341010496,10.7696731,106.7140575
11341010497,10.769715,106.7141887
11341010498,10.769439,106.7143402
11341010499,10.7692804,106.7145437
11341010500,10.7696294,106.7143356
11341010501,10.7690596,106.7143093
11341010502,10.769566,106.7140122
11341010503,10.7688212,106.7138869
11341010504,10.768329,106.7131478
11341010505,10.7678619,106.7126299
11341010506,10.7676167,106.7124065
11341010507,10.7675485,106.7141546
11341010508,10.767598,106.7141718
11341010509,10.7676381,106.7141729
11341010510,10.7676771,106.7141643
11341010511,10.7683706,106.7125958
11341010512,10.768653,106.7124175
11341010513,10.7678921,106.7129434
11341010514,10.767676,106.7131118
11341010515,10.7674747,106.7132813
11341010516,10.7672776,106.7134551
11341010517,10.769036,106.713237
11341010518,10.7688084,106.7133659
11341010519,10.768398,106.71363
11341010520,10.7681767,106.7137834
11341010521,10.7680038,106.7139122
11341010522,10.7678289,106.7140549
11341010523,10.7707616,106.7134995
11341010524,10.7706091,106.7135506
11341010525,10.7702937,106.71367
11341010526,10.769965,106.7138115
11341010527,10.77001,106.7128757
11341010529,10.7707713,106.7138296
11341010530,10.7709689,106.7137684
11341010531,10.770351,106.71486
11341010532,10.770337,106.7151399
11341010533,10.7706378,106.7167199
11341010534,10.7694001,106.710779
11341010535,10.7689362,106.7110091
11341010536,10.7691356,106.7121286
11341010537,10.7688669,106.7122864
11341010538,10.7685118,106.7125034
11341010539,10.7693286,106.7120262
11341010540,10.7695384,106.7119221
11341010541,10.7697878,106.711805
11341010542,10.769049,106.7119568
11341010565,10.7697744,106.711727
11341010566,10.7700015,106.7132455
11341010567,10.7700832,106.7136543
