u,v,osmid,highway,length,geometry
6720471800,6720471592,715000350,service,26.50001421578215,"LINESTRING (106.6774962 10.7924552, 106.6775551 10.7925825, 106.6775613 10.7926808)"
6720471800,6720471793,1227071565,service,28.46669320740225,"LINESTRING (106.6774962 10.7924552, 106.6776693 10.7923024, 106.6776893 10.7922833)"
6720471805,6720471591,715000350,service,14.824955532498116,"LINESTRING (106.6776418 10.7930744, 106.6777179 10.793057, 106.6777036 10.7930022)"
6720471806,6720471791,56725525,residential,6.644515308624865,"LINESTRING (106.6773392 10.7925479, 106.6772859 10.7925767)"
6720471806,6720471800,56725525,residential,20.07957246778394,"LINESTRING (106.6773392 10.7925479, 106.6774739 10.7924749, 106.6774962 10.7924552)"
6720471806,6720471811,715000351,service,51.35248409527667,"LINESTRING (106.6773392 10.7925479, 106.6774613 10.7928154, 106.6774242 10.7929075, 106.6774201 10.792977)"
6720471809,6720471811,715000351,service,15.6935953527687,"LINESTRING (106.6774118 10.7931179, 106.6774201 10.792977)"
6720471810,6720471591,715000350,service,8.501313931083805,"LINESTRING (106.6776808 10.7929291, 106.6777036 10.7930022)"
6720471810,6720471811,715000352,service,28.969600249700978,"LINESTRING (106.6776808 10.7929291, 106.6774201 10.792977)"
6720471810,6720471812,715000350,service,14.603573132473233,"LINESTRING (106.6776808 10.7929291, 106.6776648 10.792878, 106.6776365 10.7928797, 106.6776188 10.7928328)"
6720471811,6720471809,715000351,service,15.6935953527687,"LINESTRING (106.6774201 10.792977, 106.6774118 10.7931179)"
6720471811,6720471810,715000352,service,28.969600249700978,"LINESTRING (106.6774201 10.792977, 106.6776808 10.7929291)"
6720471811,6720471806,715000351,service,51.35248409527668,"LINESTRING (106.6774201 10.792977, 106.6774242 10.7929075, 106.6774613 10.7928154, 106.6773392 10.7925479)"
6720471812,6720471592,715000350,service,18.0308633315907,"LINESTRING (106.6776188 10.7928328, 106.6775613 10.7926808)"
6720471812,6720471810,715000350,service,14.603573132473233,"LINESTRING (106.6776188 10.7928328, 106.6776365 10.7928797, 106.6776648 10.792878, 106.6776808 10.7929291)"
6720471812,6720471815,715000353,service,14.969819642698969,"LINESTRING (106.6776188 10.7928328, 106.6775852 10.7928449, 106.6775675 10.7928189, 106.677502 10.7928415)"
